Loai_San,Cap_Do_Ben,Chieu_dai_L(m),Chieu_ron_W(m),Be_day_h(m),Tai_trong_ULS(kN/m2),Phan_tu_so,Momen_M11(kNm/m),Momen_M22(kNm/m)
Ban_dam_1_phuong,C40/50,7.8,2.35,0.13,9.01,5628,4.976,0.995
Ban_ke_4_canh_2_phuong,C30/37,5.38,3.95,0.17,10.36,5629,7.274,10.495
San_o_co_Waffle_Slab,C20/25,16.47,11.04,0.49,12.05,5630,70.496,156.897
San_o_co_Waffle_Slab,C40/50,14.9,10.43,0.5,12.38,5631,64.644,131.927
San_phang_Flat_Slab,C40/50,7.69,7.39,0.23,12.38,5632,52.766,33.805
Ban_dam_1_phuong,C30/37,9.82,3.67,0.14,9.35,5633,12.593,2.519
San_o_co_Waffle_Slab,C30/37,8.8,8.27,0.43,11.03,5634,36.21,41.0
San_o_co_Waffle_Slab,C30/37,13.39,9.94,0.43,11.03,5635,52.311,94.924
Ban_dam_1_phuong,C30/37,9.78,2.92,0.14,9.35,5636,7.972,1.594
San_o_co_Waffle_Slab,C20/25,13.46,9.35,0.43,11.03,5637,46.285,95.919
Ban_ke_4_canh_2_phuong,C20/25,4.89,3.29,0.18,10.7,5638,5.212,8.955
San_o_co_Waffle_Slab,C30/37,11.19,8.18,0.48,12.05,5639,38.702,72.425
Ban_dam_1_phuong,C30/37,11.88,3.46,0.1,8.0,5640,9.577,1.915
Ban_dam_1_phuong,C20/25,8.74,3.32,0.12,8.67,5641,9.556,1.911
Ban_ke_4_canh_2_phuong,C35/45,5.11,3.94,0.14,9.35,5642,6.532,8.545
Ban_ke_4_canh_2_phuong,C30/37,9.32,4.98,0.2,11.37,5643,12.689,34.567
San_console_Cantilever,C20/25,5.23,2.37,0.11,8.33,5644,-23.394,-2.339
Ban_dam_1_phuong,C40/50,7.16,2.74,0.1,8.0,5645,6.006,1.201
San_console_Cantilever,C40/50,6.05,1.51,0.11,8.33,5646,-9.497,-0.95
San_o_co_Waffle_Slab,C20/25,9.71,9.12,0.45,11.37,5647,45.393,51.456
San_console_Cantilever,C25/30,5.42,1.5,0.15,9.68,5648,-10.89,-1.089
San_console_Cantilever,C20/25,4.96,1.37,0.12,8.67,5649,-8.136,-0.814
Ban_ke_4_canh_2_phuong,C20/25,4.87,3.28,0.18,10.7,5650,5.18,8.882
Ban_dam_1_phuong,C30/37,8.12,3.75,0.11,8.33,5651,11.714,2.343
Ban_ke_4_canh_2_phuong,C40/50,10.06,5.37,0.12,8.67,5652,11.251,30.71
Ban_ke_4_canh_2_phuong,C40/50,5.64,4.6,0.17,10.36,5653,9.865,11.534
Ban_ke_4_canh_2_phuong,C20/25,4.96,3.06,0.13,9.01,5654,3.796,7.758
Ban_dam_1_phuong,C35/45,8.17,3.29,0.11,8.33,5655,9.016,1.803
Ban_dam_1_phuong,C40/50,10.97,3.35,0.12,8.67,5656,9.73,1.946
San_phang_Flat_Slab,C25/30,10.19,9.81,0.22,12.05,5657,90.342,57.982
Ban_ke_4_canh_2_phuong,C20/25,7.74,3.91,0.18,10.7,5658,7.361,22.435
San_o_co_Waffle_Slab,C30/37,16.04,10.95,0.47,11.71,5659,67.395,144.613
Ban_dam_1_phuong,C25/30,8.11,2.8,0.1,8.0,5660,6.272,1.254
San_console_Cantilever,C30/37,6.45,1.32,0.12,8.67,5661,-7.553,-0.755
San_console_Cantilever,C20/25,5.55,2.24,0.15,9.68,5662,-24.285,-2.429
San_phang_Flat_Slab,C35/45,10.97,8.06,0.22,12.05,5663,79.908,39.141
Ban_dam_1_phuong,C25/30,10.42,3.83,0.15,9.68,5664,14.199,2.84
San_phang_Flat_Slab,C25/30,9.95,8.25,0.22,12.05,5665,74.187,41.008
San_o_co_Waffle_Slab,C40/50,15.47,11.74,0.45,11.37,5666,75.221,130.612
San_phang_Flat_Slab,C25/30,10.5,8.42,0.24,12.72,5667,84.343,45.09
San_o_co_Waffle_Slab,C25/30,12.13,11.6,0.38,10.36,5668,66.914,73.168
San_o_co_Waffle_Slab,C35/45,11.96,11.52,0.44,11.37,5669,72.428,78.066
Ban_dam_1_phuong,C20/25,8.35,3.75,0.1,8.0,5670,11.25,2.25
Ban_ke_4_canh_2_phuong,C40/50,7.2,5.36,0.14,9.35,5671,12.088,16.965
Ban_ke_4_canh_2_phuong,C20/25,4.49,4.35,0.15,9.68,5672,8.243,6.83
San_console_Cantilever,C25/30,5.06,1.84,0.14,9.35,5673,-15.828,-1.583
San_console_Cantilever,C35/45,7.47,2.47,0.11,8.33,5674,-25.41,-2.541
San_console_Cantilever,C30/37,5.1,1.93,0.11,8.33,5675,-15.514,-1.551
San_phang_Flat_Slab,C40/50,11.69,9.35,0.3,14.74,5676,120.833,64.43
Ban_dam_1_phuong,C20/25,8.04,3.18,0.12,8.67,5677,8.767,1.753
Ban_dam_1_phuong,C20/25,8.7,3.15,0.15,9.68,5678,9.605,1.921
San_phang_Flat_Slab,C25/30,7.89,7.41,0.2,11.37,5679,49.856,31.215
San_console_Cantilever,C25/30,7.79,2.02,0.12,8.67,5680,-17.689,-1.769
Ban_ke_4_canh_2_phuong,C35/45,5.0,3.9,0.13,9.01,5681,6.167,7.884
San_phang_Flat_Slab,C35/45,7.69,7.22,0.26,13.4,5682,55.799,34.926
Ban_ke_4_canh_2_phuong,C30/37,5.67,5.26,0.12,8.67,5683,10.795,9.756
Ban_dam_1_phuong,C35/45,9.9,3.45,0.12,8.67,5684,10.319,2.064
Ban_ke_4_canh_2_phuong,C40/50,4.44,3.33,0.18,10.7,5685,5.339,7.383
Ban_ke_4_canh_2_phuong,C20/25,8.75,5.7,0.18,10.7,5686,15.644,28.673
San_phang_Flat_Slab,C40/50,8.92,8.39,0.22,12.05,5687,67.636,42.411
San_o_co_Waffle_Slab,C35/45,12.22,10.39,0.42,11.03,5688,57.154,79.06
Ban_ke_4_canh_2_phuong,C35/45,7.72,4.57,0.16,10.02,5689,9.417,20.901
San_phang_Flat_Slab,C25/30,10.09,8.32,0.24,12.72,5690,80.087,44.025
San_o_co_Waffle_Slab,C40/50,14.58,10.52,0.49,12.05,5691,64.012,122.954
Ban_dam_1_phuong,C40/50,6.42,2.52,0.13,9.01,5692,5.722,1.144
San_o_co_Waffle_Slab,C20/25,13.77,9.26,0.36,10.02,5693,41.241,91.196
San_console_Cantilever,C40/50,5.26,1.51,0.12,8.67,5694,-9.884,-0.988
Ban_dam_1_phuong,C30/37,6.63,2.69,0.11,8.33,5695,6.028,1.206
San_phang_Flat_Slab,C25/30,9.84,9.69,0.21,11.71,5696,83.741,54.976
Ban_dam_1_phuong,C25/30,11.61,3.59,0.11,8.33,5697,10.736,2.147
San_console_Cantilever,C35/45,7.4,1.97,0.12,8.67,5698,-16.824,-1.682
San_o_co_Waffle_Slab,C30/37,15.2,10.53,0.41,10.7,5699,56.948,118.662
Ban_ke_4_canh_2_phuong,C25/30,5.05,3.08,0.13,9.01,5700,3.846,8.042
Ban_ke_4_canh_2_phuong,C30/37,3.24,3.18,0.14,9.35,5701,4.255,3.435
San_console_Cantilever,C40/50,4.77,1.91,0.13,9.01,5702,-16.435,-1.643
Ban_dam_1_phuong,C25/30,5.47,2.41,0.11,8.33,5703,4.838,0.968
Ban_dam_1_phuong,C40/50,6.83,3.13,0.13,9.01,5704,8.827,1.765
San_o_co_Waffle_Slab,C25/30,14.82,11.45,0.35,10.02,5705,63.055,105.634
Ban_dam_1_phuong,C35/45,7.95,2.91,0.1,8.0,5706,6.774,1.355
San_phang_Flat_Slab,C35/45,11.43,7.82,0.28,14.07,5707,94.321,43.021
San_phang_Flat_Slab,C40/50,7.24,6.95,0.21,11.71,5708,44.192,28.281
Ban_dam_1_phuong,C30/37,9.08,3.19,0.14,9.35,5709,9.515,1.903
Ban_dam_1_phuong,C25/30,10.23,3.11,0.11,8.33,5710,8.057,1.611
Ban_ke_4_canh_2_phuong,C20/25,5.71,3.61,0.13,9.01,5711,5.284,10.282
San_phang_Flat_Slab,C25/30,10.06,9.58,0.21,11.71,5712,84.641,53.735
Ban_dam_1_phuong,C30/37,10.3,3.82,0.1,8.0,5713,11.674,2.335
San_phang_Flat_Slab,C35/45,7.99,6.42,0.24,12.72,5714,48.936,26.214
San_phang_Flat_Slab,C40/50,10.04,8.72,0.26,13.4,5715,87.987,50.946
San_phang_Flat_Slab,C35/45,8.95,7.47,0.28,14.07,5716,70.55,39.256
Ban_dam_1_phuong,C25/30,7.98,3.36,0.12,8.67,5717,9.788,1.958
San_phang_Flat_Slab,C20/25,9.51,7.6,0.24,12.72,5718,68.951,36.735
Ban_dam_1_phuong,C40/50,7.91,2.59,0.1,8.0,5719,5.366,1.073
San_o_co_Waffle_Slab,C25/30,11.37,9.08,0.49,12.05,5720,47.687,74.774
San_o_co_Waffle_Slab,C20/25,17.0,11.72,0.5,12.38,5721,81.624,171.735
San_o_co_Waffle_Slab,C20/25,12.03,11.6,0.44,11.37,5722,73.437,78.983
San_o_co_Waffle_Slab,C40/50,14.0,10.68,0.4,10.7,5723,58.582,100.666
Ban_dam_1_phuong,C25/30,7.1,2.93,0.15,9.68,5724,8.31,1.662
Ban_ke_4_canh_2_phuong,C40/50,7.71,4.13,0.14,9.35,5725,7.177,19.453
San_phang_Flat_Slab,C20/25,7.18,7.08,0.26,13.4,5726,51.089,33.585
San_o_co_Waffle_Slab,C25/30,11.69,9.87,0.35,10.02,5727,46.854,65.726
Ban_ke_4_canh_2_phuong,C35/45,4.11,3.05,0.16,10.02,5728,4.194,5.924
San_phang_Flat_Slab,C25/30,7.87,6.95,0.26,13.4,5729,54.97,32.363
Ban_dam_1_phuong,C20/25,10.09,3.7,0.13,9.01,5730,12.335,2.467
Ban_ke_4_canh_2_phuong,C35/45,4.74,4.21,0.18,10.7,5731,8.534,8.414
San_o_co_Waffle_Slab,C20/25,14.19,10.55,0.41,10.7,5732,57.165,103.416
San_phang_Flat_Slab,C40/50,10.17,8.15,0.27,13.73,5733,85.351,45.599
San_o_co_Waffle_Slab,C25/30,11.61,8.11,0.45,11.37,5734,35.896,73.564
Ban_dam_1_phuong,C40/50,6.69,2.72,0.11,8.33,5735,6.163,1.233
San_console_Cantilever,C40/50,6.56,1.26,0.11,8.33,5736,-6.612,-0.661
San_console_Cantilever,C30/37,6.78,2.27,0.1,8.0,5737,-20.612,-2.061
Ban_dam_1_phuong,C20/25,7.66,2.44,0.14,9.35,5738,5.567,1.113
San_console_Cantilever,C40/50,3.62,2.46,0.11,8.33,5739,-25.205,-2.521
Ban_dam_1_phuong,C20/25,11.02,3.86,0.15,9.68,5740,14.423,2.885
Ban_ke_4_canh_2_phuong,C25/30,10.14,5.86,0.13,9.01,5741,13.923,32.424
San_phang_Flat_Slab,C40/50,10.19,6.98,0.24,12.72,5742,67.854,30.986
San_phang_Flat_Slab,C30/37,10.44,9.05,0.3,14.74,5743,104.45,60.362
San_phang_Flat_Slab,C35/45,9.64,7.74,0.25,13.06,5744,73.084,39.12
San_phang_Flat_Slab,C25/30,8.24,6.58,0.25,13.06,5745,53.108,28.273
San_o_co_Waffle_Slab,C40/50,11.5,8.1,0.47,11.71,5746,36.878,74.335
San_phang_Flat_Slab,C25/30,10.52,7.45,0.25,13.06,5747,76.767,36.243
Ban_ke_4_canh_2_phuong,C35/45,5.58,5.38,0.18,10.7,5748,13.937,11.661
Ban_dam_1_phuong,C20/25,9.92,3.19,0.15,9.68,5749,9.85,1.97
San_o_co_Waffle_Slab,C30/37,12.92,9.38,0.36,10.02,5750,42.317,80.285
San_phang_Flat_Slab,C40/50,8.94,7.02,0.26,13.4,5751,63.073,33.018
San_phang_Flat_Slab,C35/45,11.55,8.14,0.29,14.41,5752,101.609,47.74
San_phang_Flat_Slab,C25/30,13.46,9.04,0.29,14.41,5753,131.504,58.88
San_phang_Flat_Slab,C30/37,10.41,7.53,0.24,12.72,5754,74.781,36.062
San_console_Cantilever,C30/37,5.25,1.28,0.13,9.01,5755,-7.381,-0.738
San_console_Cantilever,C25/30,3.81,1.22,0.14,9.35,5756,-6.958,-0.696
San_o_co_Waffle_Slab,C35/45,11.53,11.3,0.49,12.05,5757,73.856,76.893
Ban_dam_1_phuong,C25/30,12.39,3.95,0.11,8.33,5758,12.997,2.599
Ban_ke_4_canh_2_phuong,C40/50,6.86,4.61,0.2,11.37,5759,10.874,18.727
San_phang_Flat_Slab,C35/45,7.69,7.13,0.29,14.41,5760,59.257,36.628
San_console_Cantilever,C35/45,6.93,2.48,0.12,8.67,5761,-26.662,-2.666
San_phang_Flat_Slab,C25/30,6.9,6.73,0.25,13.06,5762,45.485,29.576
Ban_dam_1_phuong,C20/25,9.81,2.92,0.13,9.01,5763,7.682,1.536
San_phang_Flat_Slab,C30/37,11.81,8.63,0.28,14.07,5764,107.551,52.394
San_console_Cantilever,C35/45,5.29,1.23,0.11,8.33,5765,-6.301,-0.63
San_o_co_Waffle_Slab,C25/30,11.24,9.77,0.45,11.37,5766,52.094,68.95
San_phang_Flat_Slab,C20/25,9.59,8.04,0.23,12.38,5767,71.591,40.013
Ban_ke_4_canh_2_phuong,C30/37,7.71,4.15,0.14,9.35,5768,7.246,19.453
San_console_Cantilever,C35/45,4.54,2.36,0.14,9.35,5769,-26.038,-2.604
Ban_ke_4_canh_2_phuong,C35/45,7.88,4.95,0.16,10.02,5770,11.048,21.777
San_phang_Flat_Slab,C35/45,10.21,8.01,0.23,12.38,5771,75.935,39.715
San_phang_Flat_Slab,C25/30,10.11,9.53,0.26,13.4,5772,96.83,60.85
San_console_Cantilever,C30/37,3.3,1.65,0.11,8.33,5773,-11.339,-1.134
San_o_co_Waffle_Slab,C30/37,9.94,9.33,0.36,10.02,5774,41.867,47.521
San_o_co_Waffle_Slab,C20/25,12.24,10.32,0.39,10.7,5775,54.7,76.946
Ban_dam_1_phuong,C35/45,7.75,2.59,0.11,8.33,5776,5.588,1.118
San_o_co_Waffle_Slab,C30/37,12.78,11.46,0.4,10.7,5777,67.452,83.885
San_o_co_Waffle_Slab,C35/45,11.92,9.93,0.4,10.7,5778,50.643,72.976
San_o_co_Waffle_Slab,C40/50,9.75,8.47,0.42,11.03,5779,37.983,50.33
Ban_ke_4_canh_2_phuong,C40/50,11.41,5.82,0.19,11.03,5780,16.813,50.259
Ban_dam_1_phuong,C35/45,8.98,2.59,0.11,8.33,5781,5.588,1.118
Ban_ke_4_canh_2_phuong,C25/30,6.02,3.19,0.13,9.01,5782,4.126,11.428
San_o_co_Waffle_Slab,C20/25,13.03,10.2,0.49,12.05,5783,60.177,98.201
San_phang_Flat_Slab,C30/37,9.2,9.15,0.24,12.72,5784,80.308,53.248
San_phang_Flat_Slab,C20/25,9.27,8.85,0.27,13.73,5785,84.48,53.768
San_o_co_Waffle_Slab,C40/50,9.21,8.06,0.38,10.36,5786,32.305,42.181
San_console_Cantilever,C35/45,7.6,2.4,0.1,8.0,5787,-23.04,-2.304
Ban_dam_1_phuong,C25/30,7.39,3.47,0.12,8.67,5788,10.439,2.088
San_console_Cantilever,C20/25,4.4,2.34,0.1,8.0,5789,-21.902,-2.19
San_phang_Flat_Slab,C30/37,14.47,9.99,0.22,12.05,5790,130.642,60.13
San_o_co_Waffle_Slab,C25/30,10.18,8.04,0.41,10.7,5791,33.2,53.226
Ban_ke_4_canh_2_phuong,C30/37,8.38,5.3,0.15,9.68,5792,12.236,23.792
Ban_ke_4_canh_2_phuong,C30/37,5.9,3.58,0.17,10.36,5793,5.975,12.622
San_console_Cantilever,C25/30,7.29,1.3,0.14,9.35,5794,-7.901,-0.79
Ban_dam_1_phuong,C35/45,4.55,2.13,0.13,9.01,5795,4.088,0.818
San_phang_Flat_Slab,C35/45,8.15,6.38,0.27,13.73,5796,53.544,27.944
Ban_dam_1_phuong,C35/45,9.68,3.3,0.12,8.67,5797,9.442,1.888
San_console_Cantilever,C40/50,6.5,1.95,0.14,9.35,5798,-17.777,-1.778
San_console_Cantilever,C35/45,7.25,1.41,0.12,8.67,5799,-8.618,-0.862
Ban_dam_1_phuong,C30/37,11.16,4.0,0.14,9.35,5800,14.96,2.992
San_o_co_Waffle_Slab,C40/50,10.79,9.85,0.43,11.03,5801,51.368,61.64
San_phang_Flat_Slab,C35/45,10.28,9.02,0.24,12.72,5802,88.46,51.745
San_o_co_Waffle_Slab,C25/30,15.32,11.83,0.46,11.71,5803,78.662,131.922
San_o_co_Waffle_Slab,C20/25,12.32,11.39,0.5,12.38,5804,77.092,90.195
San_o_co_Waffle_Slab,C35/45,12.03,9.26,0.46,11.71,5805,48.197,81.345
San_console_Cantilever,C30/37,7.97,2.2,0.11,8.33,5806,-20.159,-2.016
Ban_dam_1_phuong,C25/30,7.75,3.32,0.1,8.0,5807,8.818,1.764
Ban_ke_4_canh_2_phuong,C25/30,6.45,5.63,0.18,10.7,5808,15.262,15.58
Ban_ke_4_canh_2_phuong,C40/50,9.59,4.98,0.18,10.7,5809,11.941,34.442
Ban_dam_1_phuong,C30/37,5.3,2.33,0.15,9.68,5810,5.255,1.051
Ban_dam_1_phuong,C25/30,7.84,2.88,0.11,8.33,5811,6.909,1.382
Ban_ke_4_canh_2_phuong,C40/50,7.38,4.08,0.17,10.36,5812,7.761,19.749
San_console_Cantilever,C20/25,4.52,1.73,0.11,8.33,5813,-12.465,-1.247
San_o_co_Waffle_Slab,C40/50,10.63,9.01,0.49,12.05,5814,46.955,65.357
San_o_co_Waffle_Slab,C30/37,14.1,11.78,0.4,10.7,5815,71.271,102.109
Ban_dam_1_phuong,C40/50,10.45,3.02,0.11,8.33,5816,7.597,1.519
San_o_co_Waffle_Slab,C35/45,14.98,11.67,0.47,11.71,5817,76.549,126.131
San_o_co_Waffle_Slab,C35/45,14.78,10.3,0.47,11.71,5818,59.631,122.785
San_o_co_Waffle_Slab,C25/30,12.82,11.27,0.43,11.03,5819,67.246,87.015
Ban_ke_4_canh_2_phuong,C20/25,10.0,5.3,0.18,10.7,5820,13.525,37.45
San_console_Cantilever,C40/50,6.19,1.32,0.11,8.33,5821,-7.257,-0.726
San_console_Cantilever,C35/45,3.42,1.83,0.14,9.35,5822,-15.656,-1.566
San_console_Cantilever,C30/37,5.86,1.96,0.11,8.33,5823,-16.0,-1.6
San_phang_Flat_Slab,C25/30,7.86,6.8,0.22,12.05,5824,48.304,27.86
Ban_dam_1_phuong,C25/30,8.73,3.04,0.14,9.35,5825,8.641,1.728
San_phang_Flat_Slab,C40/50,9.52,8.77,0.28,14.07,5826,88.103,54.108
San_console_Cantilever,C30/37,3.54,1.55,0.1,8.0,5827,-9.61,-0.961
San_console_Cantilever,C35/45,7.22,2.27,0.12,8.67,5828,-22.338,-2.234
San_o_co_Waffle_Slab,C25/30,12.08,9.86,0.41,10.7,5829,49.932,74.948
San_phang_Flat_Slab,C40/50,10.56,7.92,0.21,11.71,5830,73.453,36.726
Ban_dam_1_phuong,C20/25,11.14,3.68,0.11,8.33,5831,11.281,2.256
Ban_dam_1_phuong,C40/50,7.81,3.1,0.11,8.33,5832,8.005,1.601
San_console_Cantilever,C30/37,4.39,1.33,0.12,8.67,5833,-7.668,-0.767
San_console_Cantilever,C20/25,6.24,1.79,0.14,9.35,5834,-14.979,-1.498
Ban_dam_1_phuong,C20/25,5.1,2.16,0.1,8.0,5835,3.732,0.746
San_console_Cantilever,C35/45,5.56,1.53,0.1,8.0,5836,-9.364,-0.936
Ban_ke_4_canh_2_phuong,C40/50,4.83,4.72,0.18,10.7,5837,10.727,8.737
San_console_Cantilever,C40/50,5.42,1.93,0.13,9.01,5838,-16.781,-1.678
San_phang_Flat_Slab,C20/25,9.13,8.92,0.21,11.71,5839,71.524,46.586
San_phang_Flat_Slab,C35/45,8.02,7.21,0.29,14.41,5840,62.494,37.455
San_o_co_Waffle_Slab,C25/30,11.73,11.47,0.41,10.7,5841,67.57,70.668
Ban_dam_1_phuong,C30/37,9.39,3.58,0.11,8.33,5842,10.676,2.135
Ban_dam_1_phuong,C25/30,7.72,3.55,0.12,8.67,5843,10.926,2.185
Ban_ke_4_canh_2_phuong,C25/30,9.63,5.81,0.2,11.37,5844,17.271,36.905
Ban_ke_4_canh_2_phuong,C20/25,7.09,5.48,0.18,10.7,5845,14.46,18.825
Ban_dam_1_phuong,C20/25,12.29,3.66,0.11,8.33,5846,11.159,2.232
Ban_dam_1_phuong,C30/37,7.4,3.08,0.15,9.68,5847,9.183,1.837
San_console_Cantilever,C20/25,5.23,1.95,0.1,8.0,5848,-15.21,-1.521
Ban_ke_4_canh_2_phuong,C25/30,4.88,4.15,0.14,9.35,5849,7.246,7.793
San_o_co_Waffle_Slab,C30/37,10.65,9.59,0.46,11.71,5850,51.693,63.753
Ban_dam_1_phuong,C35/45,11.48,3.94,0.14,9.35,5851,14.515,2.903
Ban_ke_4_canh_2_phuong,C20/25,7.62,5.0,0.19,11.03,5852,12.409,22.416
Ban_ke_4_canh_2_phuong,C30/37,4.51,3.69,0.18,10.7,5853,6.556,7.617
Ban_dam_1_phuong,C20/25,6.44,2.04,0.13,9.01,5854,3.75,0.75
San_console_Cantilever,C35/45,7.26,1.99,0.13,9.01,5855,-17.84,-1.784
San_phang_Flat_Slab,C25/30,9.38,8.61,0.21,11.71,5856,70.929,43.404
San_o_co_Waffle_Slab,C25/30,11.32,8.53,0.36,10.02,5857,34.995,61.631
Ban_ke_4_canh_2_phuong,C35/45,7.37,5.29,0.13,9.01,5858,11.346,17.129
Ban_dam_1_phuong,C20/25,8.18,3.56,0.11,8.33,5859,10.557,2.111
San_console_Cantilever,C30/37,6.88,1.49,0.12,8.67,5860,-9.624,-0.962
San_o_co_Waffle_Slab,C40/50,12.74,9.68,0.36,10.02,5861,45.067,78.063
Ban_dam_1_phuong,C20/25,7.31,2.54,0.1,8.0,5862,5.161,1.032
San_phang_Flat_Slab,C20/25,8.22,6.32,0.22,12.05,5863,46.95,24.065
Ban_dam_1_phuong,C25/30,5.32,2.41,0.11,8.33,5864,4.838,0.968
San_console_Cantilever,C20/25,5.96,2.16,0.15,9.68,5865,-22.582,-2.258
Ban_ke_4_canh_2_phuong,C20/25,4.48,4.22,0.15,9.68,5866,7.757,6.8
Ban_ke_4_canh_2_phuong,C35/45,6.42,5.7,0.15,9.68,5867,14.153,13.964
Ban_ke_4_canh_2_phuong,C40/50,6.27,3.6,0.12,8.67,5868,5.056,11.929
San_phang_Flat_Slab,C20/25,10.74,7.52,0.25,13.06,5869,79.109,36.927
San_o_co_Waffle_Slab,C25/30,11.1,10.33,0.48,12.05,5870,61.72,71.265
Ban_ke_4_canh_2_phuong,C40/50,6.18,5.05,0.18,10.7,5871,12.279,14.303
Ban_dam_1_phuong,C20/25,6.05,2.65,0.11,8.33,5872,5.85,1.17
San_o_co_Waffle_Slab,C35/45,13.27,10.08,0.49,12.05,5873,58.769,101.852
San_o_co_Waffle_Slab,C20/25,10.91,9.07,0.4,10.7,5874,42.251,61.133
Ban_dam_1_phuong,C30/37,10.12,3.26,0.13,9.01,5875,9.575,1.915
San_o_co_Waffle_Slab,C20/25,12.81,10.87,0.38,10.36,5876,58.757,81.602
San_phang_Flat_Slab,C35/45,9.01,8.0,0.28,14.07,5877,76.062,45.024
Ban_dam_1_phuong,C20/25,5.77,2.73,0.12,8.67,5878,6.462,1.292
San_o_co_Waffle_Slab,C20/25,9.08,8.28,0.37,10.36,5879,34.093,40.999
San_o_co_Waffle_Slab,C20/25,9.59,9.36,0.37,10.36,5880,43.567,45.734
San_o_co_Waffle_Slab,C20/25,12.86,11.41,0.46,11.71,5881,73.176,92.957
Ban_dam_1_phuong,C30/37,9.3,2.85,0.15,9.68,5882,7.863,1.573
San_o_co_Waffle_Slab,C40/50,10.91,9.77,0.47,11.71,5883,53.652,66.903
San_phang_Flat_Slab,C20/25,10.89,8.47,0.23,12.38,5884,85.643,44.408
San_phang_Flat_Slab,C35/45,6.97,6.04,0.3,14.74,5885,46.54,26.887
San_phang_Flat_Slab,C40/50,8.22,8.09,0.25,13.06,5886,65.137,42.738
San_o_co_Waffle_Slab,C35/45,13.99,9.81,0.43,11.03,5887,50.951,103.622
Ban_ke_4_canh_2_phuong,C35/45,8.54,4.52,0.15,9.68,5888,8.899,24.709
San_o_co_Waffle_Slab,C20/25,10.23,9.64,0.46,11.71,5889,52.234,58.823
San_console_Cantilever,C25/30,3.6,1.73,0.12,8.67,5890,-12.974,-1.297
Ban_dam_1_phuong,C40/50,10.17,3.64,0.14,9.35,5891,12.388,2.478
Ban_dam_1_phuong,C20/25,7.09,2.33,0.14,9.35,5892,5.076,1.015
Ban_dam_1_phuong,C35/45,6.97,2.23,0.13,9.01,5893,4.481,0.896
Ban_dam_1_phuong,C40/50,7.14,2.37,0.14,9.35,5894,5.252,1.05
Ban_ke_4_canh_2_phuong,C25/30,9.74,5.19,0.16,10.02,5895,12.145,33.27
San_phang_Flat_Slab,C25/30,8.87,7.15,0.28,14.07,5896,66.924,35.965
Ban_dam_1_phuong,C40/50,6.82,2.56,0.11,8.33,5897,5.459,1.092
San_console_Cantilever,C40/50,7.99,2.25,0.14,9.35,5898,-23.667,-2.367
San_phang_Flat_Slab,C40/50,9.69,7.05,0.21,11.71,5899,59.997,29.101
Ban_ke_4_canh_2_phuong,C40/50,4.23,3.19,0.13,9.01,5900,4.126,5.643
San_phang_Flat_Slab,C20/25,9.26,6.85,0.23,12.38,5901,58.896,29.045
Ban_dam_1_phuong,C30/37,9.83,3.28,0.1,8.0,5902,8.607,1.721
San_o_co_Waffle_Slab,C25/30,16.3,11.9,0.47,11.71,5903,79.596,149.339
Ban_dam_1_phuong,C25/30,5.8,2.2,0.15,9.68,5904,4.685,0.937
Ban_dam_1_phuong,C25/30,8.69,3.83,0.14,9.35,5905,13.715,2.743
San_console_Cantilever,C40/50,6.22,1.58,0.14,9.35,5906,-11.671,-1.167
San_o_co_Waffle_Slab,C35/45,9.62,9.05,0.44,11.37,5907,44.699,50.507
San_o_co_Waffle_Slab,C25/30,15.69,11.28,0.44,11.37,5908,69.442,134.353
San_o_co_Waffle_Slab,C30/37,9.51,8.89,0.39,10.7,5909,40.591,46.45
Ban_dam_1_phuong,C30/37,9.78,3.63,0.12,8.67,5910,11.424,2.285
San_console_Cantilever,C40/50,3.35,2.18,0.12,8.67,5911,-20.602,-2.06
Ban_dam_1_phuong,C25/30,6.72,2.92,0.11,8.33,5912,7.102,1.42
San_phang_Flat_Slab,C20/25,11.53,7.78,0.21,11.71,5913,78.782,35.439
San_o_co_Waffle_Slab,C20/25,13.84,9.92,0.47,11.71,5914,55.312,107.664
Ban_ke_4_canh_2_phuong,C25/30,7.75,5.74,0.15,9.68,5915,14.352,20.349
Ban_ke_4_canh_2_phuong,C30/37,7.19,3.86,0.15,9.68,5916,6.49,17.515
San_phang_Flat_Slab,C35/45,7.62,6.78,0.28,14.07,5917,54.518,32.339
San_console_Cantilever,C35/45,4.74,1.88,0.11,8.33,5918,-14.721,-1.472
Ban_ke_4_canh_2_phuong,C30/37,7.83,3.94,0.14,9.35,5919,6.532,20.063
Ban_ke_4_canh_2_phuong,C35/45,6.81,5.05,0.15,9.68,5920,11.109,15.712
San_console_Cantilever,C25/30,5.14,1.23,0.14,9.35,5921,-7.073,-0.707
Ban_ke_4_canh_2_phuong,C40/50,5.41,3.07,0.14,9.35,5922,3.966,9.578
Ban_dam_1_phuong,C30/37,5.89,2.76,0.12,8.67,5923,6.604,1.321
San_phang_Flat_Slab,C30/37,12.36,9.96,0.22,12.05,5924,111.257,59.769
Ban_dam_1_phuong,C25/30,12.16,3.62,0.11,8.33,5925,10.916,2.183
San_console_Cantilever,C25/30,3.7,1.8,0.12,8.67,5926,-14.045,-1.405
Ban_ke_4_canh_2_phuong,C30/37,11.17,5.86,0.16,10.02,5927,15.484,43.756
